# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       2.40
2                       4.81
4                       9.63
8                      19.29
16                     38.58
32                     76.62
64                    150.36
128                   298.61
256                   568.32
512                  1130.47
1024                 2163.35
2048                 4448.50
4096                 6409.14
8192                 8956.22
16384                9285.78
32768                9703.19
65536               11961.23
131072              12148.86
262144              12246.97
524288              12295.95
1048576             12320.44
2097152             12332.24
4194304             12338.95
