# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       2.08
1                       2.08
2                       2.08
4                       2.08
8                       2.08
16                      2.09
32                      2.34
64                      2.60
128                     2.63
256                     3.32
512                     3.33
1024                    3.89
2048                    4.05
4096                    4.94
8192                    5.37
16384                   6.33
32768                   8.74
65536                  11.83
131072                 19.00
262144                 29.72
524288                 51.31
1048576                93.83
2097152               179.18
4194304               348.86
