
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      25.81
8                      24.63
16                     24.68
32                     25.62
64                     28.05
128                    31.91
256                    32.10
512                    34.33
1024                   38.74
2048                   51.51
4096                   61.84
8192                 1948.73
16384                 158.22
32768                2052.26
65536                 266.95
131072               1407.68
262144                462.20
524288               1009.00
1048576              2011.10
