# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.87
2                       3.73
4                       7.49
8                      14.99
16                     29.94
32                     59.61
64                    117.72
128                   235.76
256                   445.88
512                   880.25
1024                 1719.16
2048                 3698.91
4096                 5755.02
8192                 8728.32
16384                9122.58
32768                9639.18
65536               11939.07
131072              12139.19
262144              12238.47
524288              12212.07
1048576             12319.24
2097152             12331.43
4194304             12338.12
