# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       2.43
1                       2.43
2                       2.43
4                       2.44
8                       2.44
16                      2.44
32                      2.64
64                      2.99
128                     3.05
256                     3.78
512                     3.80
1024                    4.39
2048                    4.63
4096                    5.71
8192                    6.62
16384                   8.03
32768                  11.23
65536                  15.00
131072                 24.58
262144                 30.19
524288                 51.81
1048576                94.43
2097152               179.51
4194304               349.37
