# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       2.40
2                       4.78
4                       9.61
8                      19.27
16                     38.51
32                     76.61
64                    150.39
128                   298.35
256                   568.12
512                  1127.45
1024                 2141.06
2048                 4416.65
4096                 6342.19
8192                 8997.18
16384                9292.85
32768                9763.11
65536               11962.20
131072              12154.07
262144              12248.23
524288              12294.67
1048576             12320.10
2097152             12332.63
4194304             12339.01
