# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       2.08
1                       2.07
2                       2.08
4                       2.08
8                       2.08
16                      2.09
32                      2.33
64                      2.59
128                     2.63
256                     3.31
512                     3.33
1024                    3.88
2048                    4.04
4096                    4.94
8192                    5.38
16384                   6.35
32768                   8.77
65536                  11.89
131072                 19.02
262144                 29.77
524288                 51.35
1048576                93.87
2097152               179.19
4194304               348.86
