
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      25.42
8                      24.59
16                     25.00
32                     25.64
64                     28.23
128                    32.01
256                    33.30
512                    35.76
1024                   40.44
2048                   49.76
4096                   62.23
8192                 1935.18
16384                 157.50
32768                2044.64
65536                 253.80
131072               1400.26
262144                464.75
524288               1008.23
1048576              2018.62
