# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.93
2                       3.88
4                       7.78
8                      15.61
16                     31.17
32                     62.12
64                    122.28
128                   243.35
256                   460.65
512                   907.47
1024                 1765.87
2048                 3728.62
4096                 6079.38
8192                 8830.29
16384                8856.09
32768               10043.01
65536               11739.16
131072              12164.36
262144              12252.34
524288              12217.79
1048576             12322.35
2097152             12333.25
4194304             12339.70
