# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       2.38
1                       2.38
2                       2.38
4                       2.39
8                       2.39
16                      2.40
32                      2.61
64                      2.91
128                     2.94
256                     3.64
512                     3.73
1024                    4.22
2048                    4.46
4096                    5.50
8192                    6.35
16384                   7.27
32768                   9.43
65536                  12.95
131072                 20.52
262144                 30.81
524288                 52.01
1048576                94.60
2097152               179.76
4194304               349.48
