
# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      32.27
8                      39.01
16                     48.65
32                     88.81
64                     56.06
128                    32.43
256                    28.19
512                    47.95
1024                   33.77
2048                   45.04
4096                   60.21
8192                   66.25
16384                  87.53
32768                 132.99
65536                 164.05
131072                265.11
262144                468.96
524288               1113.96
1048576              2267.05
