[1751139285.640672] [flux-sample-11:103  :0]            sock.c:513  UCX  WARN  unable to read somaxconn value from /proc/sys/net/core/somaxconn file

# OSU MPI Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
[1751139285.643345] [flux-sample-22:87   :0]            sock.c:513  UCX  WARN  unable to read somaxconn value from /proc/sys/net/core/somaxconn file
1                       1.93
2                       3.86
4                       7.69
8                      15.43
16                     30.84
32                     61.41
64                    121.45
128                   241.66
256                   456.13
512                   880.78
1024                 1836.93
2048                 4265.51
4096                 5780.49
8192                 8810.59
16384                9371.27
32768                9781.61
65536               12037.35
131072              12172.28
262144              12251.42
524288              12220.90
1048576             12323.28
2097152             12333.97
4194304             12339.99
