
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      40.89
8                      41.67
16                     42.83
32                     42.08
64                     45.27
128                    48.99
256                    52.67
512                    55.15
1024                   58.48
2048                   76.65
4096                  100.29
8192                  183.74
16384                 127.73
32768                 155.14
65536                 231.83
131072                344.53
262144               1090.43
524288               3357.68
1048576              6349.97
