
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      24.25
8                      24.15
16                     23.98
32                     25.07
64                     27.53
128                    31.45
256                    31.52
512                    33.73
1024                   37.33
2048                   49.35
4096                   61.26
8192                 1951.52
16384                 158.52
32768                2038.19
65536                 247.80
131072               1428.05
262144                462.18
524288               1004.76
1048576              2022.17
