# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.87
2                       3.75
4                       7.50
8                      15.00
16                     29.96
32                     59.82
64                    117.95
128                   235.08
256                   445.48
512                   882.31
1024                 1637.84
2048                 3888.23
4096                 5556.07
8192                 8429.39
16384                9180.29
32768                9507.75
65536               11941.85
131072              12126.92
262144              12226.28
524288              12287.95
1048576             12316.33
2097152             12331.00
4194304             12338.41
