# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.87
1                       1.86
2                       1.86
4                       1.87
8                       1.87
16                      1.88
32                      2.07
64                      2.35
128                     2.38
256                     3.11
512                     3.20
1024                    3.67
2048                    3.91
4096                    4.69
8192                    5.25
16384                   6.25
32768                   8.53
65536                  11.88
131072                 19.20
262144                 28.59
524288                 49.82
1048576                92.49
2097152               177.57
4194304               347.25
